# list of object assets to load in this scene
[ASSETS]
mario.txt
brick.txt
coin.txt
goomba.txt
koopa.txt
cloud.txt
portal.txt
plant.txt
[TILEMAP]
TileMap1_1.txt
#
[OBJECTS]
# type	x	y	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba, 3 = Koopas, 7 =Plant
# See OBJECT_TYPE constants in AssetIDs.h

# MARIO
0	20	10

# BRICKS
1	0	148
1	0	164

1	0	416
1	16	416
1	32	416
1	48	416
1	64	416
1	80	416
1	96	416
1	112	416
1	128	416
1	144	416
1	160	416
1	176	416
1	192	416
1	208	416
1	224	416
1	240	416
1	256	416
1	272	416
1	288	416
1	304	416
1	320	416
1	336	416
1	352	416

1	352	148
1	352	164

#COIN
4	100	120
4	120	120
4	140	120
4	160	120
4	180	120

#Goomba
2	250	10
#Koopa
3	200	10
#Plant
7	360	369

#Platform
5	90	136	16	16	16	51100	52100	53100
5	120	90	16	16	8	20001	20001	20001
6	90	10	16	15	3	51000	52000	53000	1
#Portal 
50	300	110	316	140	2
